Gene_id	A1	A2	B1	B2	A3	B3	length
G000982	181	149	215	233	253	138	3678
G000983	227	266	825	633	323	1123	627.5
G000984	31	15	25	0	42	29	780
G000985	348	699	777	641	579	677	3189.5
G000986	814	902	752	341	1369	508	8615
G000987	1669	1295	2340	1296	1999	2430	706.5
G000988	2367	2115	3776	3142	2647	3918	681.5
G000989	2021	2657	2231	1678	2877	2890	1029
G000990	817	803	1098	1002	960	1249	1802
G000991	3041	3256	5384	4338	5150	4244	844.5
G000992	86	118	161	227	111	161	824
G000993	439	387	654	409	560	336	7037
G000994	1771	1918	3540	2108	2962	2789	1084
G000995	0	0	0	0	0	0	6020
G000996	623	464	736	449	694	503	834
G000997	62	30	82	32	54	41	1767
G000998	1271	1286	1313	895	2439	988	812.5
G000999	137	155	152	183	229	140	1641.5
G001000	31307	32963	44734	40577	36504	45880	2278
G001001	594	915	1130	915	825	1126	2673
G001002	4147	4374	7149	5090	5323	9223	811
G001003	132	166	110	240	206	200	1518.5
G001004	816	810	1887	1243	1384	1467	1417.5
G001005	398	452	393	193	449	259	855
G001006	942	1432	1260	1142	1772	1359	4131.5
G001007	8775	10578	10872	9696	9322	14264	761
G001008	1234	1059	1472	1006	1695	955	4004.5
G001009	0	23	12	48	14	42	725
G001010	127	107	142	161	214	222	706
G001011	82	45	308	291	195	200	4749
G001012	4807	5343	7290	5895	6558	8373	656
G001013	0	7	4	0	13	8	718
G001014	865	738	238	25	1491	122	1226
G001015	2492	2681	1711	1767	2361	1859	844
G001016	279	346	181	230	369	155	1735
G001017	438	339	659	363	409	700	829.5
G001018	33	17	3	0	0	3	4257
G001019	436	439	1385	889	1025	1167	6650
G001020	1935	2788	3914	3174	3205	3076	3118
G001021	524	587	659	499	612	623	1809
G001022	523	516	531	529	578	435	1129
G001023	647	572	596	489	808	594	922
G001024	430	361	355	217	289	336	1745
G001025	948	797	93	51	1084	72	3842
G001026	609	471	517	451	561	704	560
G001027	656	543	815	979	651	627	3606
G001028	3387	3386	2711	2344	3720	2704	2290
G001029	188	147	173	213	173	274	2526
G001030	790	844	1339	840	1450	1176	5428
G001031	2517	2406	1881	1313	3175	2005	2379.5
G001032	1308	1344	1350	982	1595	1402	2080
G001033	251	139	360	242	279	232	831
G001034	1383	1754	2385	1893	3189	1807	683
G001035	718	591	458	484	662	341	851
G001036	874	922	704	617	728	937	1735
G001037	740	1260	1172	1100	1546	1086	2895.5
G001038	905	839	2075	1417	751	1852	820.5
G001039	396	250	2346	1533	887	1108	2086
G001040	0	12	20	0	49	5	642
G001041	1206	1274	3483	2793	2434	1550	2583
G001042	794	563	2448	1964	1516	1088	582
G001043	4779	5400	5103	4178	4735	5879	1126
G001044	165	122	336	119	208	262	2418
G001045	853	1122	672	775	1015	660	675.5
G001046	0	0	0	0	8	0	3646.5
G001047	775	775	1370	1039	1186	1150	1317.5
G001048	2065	2221	3171	2466	3185	2620	4460
G001049	684	977	1921	1418	1129	1407	828.5
G001050	29	14	6	1	12	7	835
G001051	4302	3708	8026	5419	5856	6348	1154
G001052	281	185	311	150	490	281	582
G001053	1641	1481	779	585	1450	905	890
G001054	3112	3691	2382	2356	4149	2577	2013.5
G001055	522	490	263	261	746	222	887
G001056	19	32	3	0	8	1	2373
G001057	1	0	1	1	2	3	665
G001058	0	1	4	1	4	0	718
G001059	0	0	0	0	0	0	2504.5
G001060	1	15	170	8	26	123	695.5
G001061	23	0	1	0	8	0	5384
G001062	0	7	12	0	18	31	5992
G001063	1585	1342	1934	1461	2047	1804	3374
G001064	4273	5396	13734	9594	6704	12819	498
G001065	3539	3560	6381	4876	4825	6491	3820.5
G001066	3346	4287	3638	2752	4174	3790	3048
G001067	42	58	46	25	23	29	595
G001068	3708	2858	4260	3893	3738	3875	916
G001069	0	0	0	0	0	0	4046.5
G001070	0	0	0	0	0	0	732
G001071	27	54	18	82	17	15	761
G001072	643	674	589	454	588	785	1132.5
G001073	0	0	0	0	0	0	1258.5
G001074	592	821	514	500	1300	562	1951
G001075	7	9	13	34	18	28	868
G001076	2171	2719	1480	854	4485	1205	2908
G001077	137	93	40	59	137	19	4589
G001078	0	0	0	0	14	0	997.5
G001079	0	0	0	0	0	0	849
G001080	8268	11440	8850	7075	8622	11317	734
G001081	1043	1135	1084	577	2222	633	5707
G001082	193	223	249	61	171	194	2004
G001083	418	566	2212	1409	760	1489	4219
G001084	429	467	449	413	654	329	2598
G001085	933	1517	3694	2738	1369	3789	2799
G001086	1365	1424	2079	1825	1485	2368	1591
G001087	2228	2696	2919	2938	2144	3778	1000.5
